Protein,Localization,Length,Mass,Hydrophobic,Positive Charged,Negative Charged,Polar,Hydropathicity
RASA1,Cytosol,1047,116403,515,141,127,264,-267.4
RBCK1,Cytosol,510,57572,222,65,67,156,-253.9
REL,Cytosol,619,68520,270,73,73,203,-347.8
RELB,Cytosol,579,62134,305,74,70,130,-219.1
RHEB,Cytosol,184,20497,86,22,22,54,-17.3
RIPK2,Cytosol,540,61195,235,81,63,161,-227.2
RNASEL,Cytosol,741,83533,326,131,113,171,-380.5
RPS6KA1,Cytosol,735,82723,350,119,92,174,-268
RWDD2B,Cytosol,319,36332,140,41,41,97,-106.8
SASH1,Cytosol,1247,136653,534,189,186,338,-1018.5
SH3BP1,Cytosol,701,75713,356,90,81,174,-310.8
SH3GLB2,Cytosol,395,43974,183,55,55,102,-154.4
SKA1,Cytosol,255,29484,98,46,40,71,-161.1
SKA2,Cytosol,121,14188,46,22,20,33,-87.1
SOS1,Cytosol,1333,152464,596,209,179,349,-728.1
SRR,Cytosol,340,36566,177,37,34,92,30.9
STAT1,Cytosol,750,87335,314,105,103,228,-392.2
STK39,Cytosol,545,59474,272,75,72,126,-154.1
SULT2B1,Cytosol,365,41308,172,46,50,97,-198.8
TBC1D16,Cytosol,767,86372,349,105,105,208,-341.7
TBC1D2,Cytosol,928,105414,417,143,130,238,-493.8
TBC1D2B,Cytosol,963,109880,419,144,141,259,-583.8
TLN1,Cytosol,2541,269767,1260,307,302,672,-610.8
TMEM102,Cytosol,508,54175,288,56,55,109,-25.5
TNIP1,Cytosol,636,71864,270,108,101,157,-623.6
TRIM47,Cytosol,638,69532,332,86,79,141,-199.3
TRIP6,Cytosol,476,50288,253,62,45,116,-204.7
TTC27,Cytosol,843,96632,362,107,112,262,-211.7
TUBA1C,Cytosol,449,49895,214,53,63,119,-104.9
UBE3B,Cytosol,1068,123098,497,167,124,280,-112.5
USP24,Cytosol,2620,294365,1190,335,323,772,-626.5
VIPAS39,Cytosol,493,57005,193,89,76,135,-319.3
VTA1,Cytosol,307,33879,140,39,36,92,-159.6
ZC3H12A,Cytosol,599,65699,290,80,71,158,-362
AACS,Cytosol,672,75144,332,86,81,173,-101
AAMDC,Cytosol,122,13332,54,18,13,37,-48.3
ABRACL,Cytosol,81,9056,42,14,13,12,-2.7
ACBD7,Cytosol,88,9790,42,15,15,16,-39.5
ACOT11,Cytosol,607,68492,267,98,71,171,-233.5
AFP,Cytosol,609,68678,262,80,82,185,-150.8
ALDH1A3,Cytosol,512,56108,260,69,63,120,-106.2
ALDOC,Cytosol,364,39456,184,48,43,89,-87.6
ANXA5,Cytosol,320,35937,146,44,54,76,-105.6
ANXA6,Cytosol,673,75873,303,107,112,151,-303.9
ARHGDIA,Cytosol,204,23207,84,31,37,52,-140.2
ATG4A,Cytosol,398,45378,181,46,56,115,-118.9
ATG7,Cytosol,703,77960,357,82,78,186,-50
ATIC,Cytosol,592,64616,297,78,70,147,-64.1
C14orf119,Cytosol,140,16009,67,14,18,41,-51.1
CAP1,Cytosol,475,51901,223,67,53,132,-167.3
CAP2,Cytosol,477,52824,221,63,58,135,-204.5
CAPN1,Cytosol,714,81890,326,98,102,188,-255
CAPN2,Cytosol,700,79995,312,92,116,180,-295.5
CAPN7,Cytosol,813,92652,358,114,93,248,-361.4
CBL,Cytosol,906,99633,423,116,105,262,-471.6
CBS,Cytosol,551,60587,270,79,71,131,-153.4
CCDC43,Cytosol,224,25248,91,39,51,43,-199.8
CDC37L1,Cytosol,337,38835,137,49,54,97,-235.3
CMPK1,Cytosol,196,22222,85,31,33,47,-112.2
COTL1,Cytosol,142,15945,62,21,22,37,-58.8
CPPED1,Cytosol,314,35548,147,47,44,76,-114.7
CRLF3,Cytosol,442,49766,194,57,67,124,-167.4
CRTC1,Cytosol,634,67300,306,56,53,219,-368.4
CSK,Cytosol,450,50704,213,67,58,112,-120.8
CSTB,Cytosol,98,11140,42,16,11,29,-53.5
DBI,Cytosol,87,10044,35,17,16,19,-78.1
DBNL,Cytosol,430,48207,186,59,72,113,-363
DPYD,Cytosol,1025,111401,514,118,109,284,-75.7
DRG2,Cytosol,364,40746,173,58,41,92,-49.4
EEF1A1,Cytosol,462,50141,234,74,53,101,-118.9
EEF1A2,Cytosol,463,50470,229,75,53,106,-141.5
EEF2,Cytosol,858,95338,433,125,114,186,-179.7
EEF2K,Cytosol,725,82144,301,111,122,191,-557.6
ENO3,Cytosol,434,46987,226,61,53,94,-84
FAH,Cytosol,419,46374,222,49,40,108,-74.7
FBP1,Cytosol,338,36842,173,45,41,79,-33.2
FBXW2,Cytosol,454,51512,198,61,53,142,-30.2
FCHSD1,Cytosol,690,76942,326,94,104,166,-456.2
FKBP1A,Cytosol,108,11951,55,17,13,23,-44.4
G6PD,Cytosol,515,59257,242,76,67,130,-190.6
GART,Cytosol,1010,107767,546,126,112,226,36.3
GCLC,Cytosol,637,72766,278,94,91,174,-282.5
GDI1,Cytosol,447,50583,206,55,65,121,-134.9
GDI2,Cytosol,445,50663,203,64,62,116,-147.8
GFPT1,Cytosol,699,78806,321,112,93,173,-194.4
GGACT,Cytosol,153,17329,79,24,19,31,-73.7
GGCT,Cytosol,188,21008,81,22,26,59,-93.3
GLCCI1,Cytosol,547,58024,234,77,45,191,-403.7
GOT1,Cytosol,413,46248,202,52,45,114,-114.2
GSTM3,Cytosol,225,26560,97,32,34,62,-91.3
HS1BP3,Cytosol,392,42780,198,53,66,75,-209.8
HSPB1,Cytosol,205,22783,95,28,26,56,-116.2
IFIH1,Cytosol,1025,116689,432,149,158,286,-495.1
IKBKG,Cytosol,419,48198,168,71,73,107,-361.4
IRF3,Cytosol,427,47219,214,49,54,110,-190.8
LZTFL1,Cytosol,299,34592,114,50,55,80,-226.4
MAP2K1,Cytosol,393,43439,199,55,50,89,-119.7
ME1,Cytosol,572,64150,282,74,72,144,-126
METTL2B,Cytosol,378,43426,158,52,52,116,-190.6
MTPN,Cytosol,118,12895,59,18,19,22,-27.4
NADSYN1,Cytosol,706,79285,331,86,79,210,-112
NRBP1,Cytosol,535,59845,236,65,78,156,-211.5
NSMAF,Cytosol,917,104372,393,126,115,283,-324.8
NT5C2,Cytosol,561,64970,243,85,81,152,-240.3
NUDT1,Cytosol,156,17952,77,20,24,35,-52.3
NUDT15,Cytosol,164,18609,74,26,24,40,-93.2
NUTF2,Cytosol,127,14478,60,13,14,40,-25.5
OLA1,Cytosol,396,44744,195,66,56,79,-158.6
PAICS,Cytosol,425,47079,201,56,51,117,-85.7
PDCL,Cytosol,301,34282,125,41,60,75,-183.8
PDE5A,Cytosol,875,99985,375,125,120,255,-345.1
PGD,Cytosol,483,53140,247,65,56,115,-72.6
PKM,Cytosol,531,57937,274,80,66,111,-68
PLCG2,Cytosol,1265,147870,506,205,189,365,-774.9
PPAT,Cytosol,517,57399,249,72,63,133,-90.2
PRDX6,Cytosol,224,25035,118,33,32,41,-47
PXN,Cytosol,591,64505,266,72,67,186,-320.4
PYCARD,Cytosol,195,21627,100,25,24,46,-42.4
RABGGTA,Cytosol,567,65072,256,75,77,159,-141.2
RABGGTB,Cytosol,331,36924,165,36,44,86,-2.5
RANBP1,Cytosol,201,23310,74,42,47,38,-220.5
RAP1GDS1,Cytosol,607,66317,306,73,81,147,43.1
RRM1,Cytosol,792,90070,347,109,96,240,-285.6
S100P,Cytosol,95,10400,47,12,16,20,-11.4
SCRN1,Cytosol,414,46382,188,50,72,104,-165.7
SERPINB8,Cytosol,374,42767,168,55,58,93,-121
SMAP1,Cytosol,467,50386,226,52,42,147,-239
SMAP2,Cytosol,429,46786,218,46,36,129,-193.2
SMYD5,Cytosol,418,47341,181,56,68,113,-161.4
ST13,Cytosol,369,41332,171,62,70,66,-316.4
STARD5,Cytosol,213,23794,103,27,24,59,-51.7
STMN2,Cytosol,179,20828,72,36,32,39,-151
TAGLN2,Cytosol,199,22391,92,23,21,63,-122.1
TBCD,Cytosol,1192,132600,609,153,145,285,-9
TES,Cytosol,421,47996,169,72,54,126,-224.6
TGM2,Cytosol,687,77329,317,84,96,190,-194.2
THNSL2,Cytosol,484,54116,233,60,52,139,-51.2
THUMPD3,Cytosol,507,57003,216,75,71,145,-210.5
TPT1,Cytosol,172,19595,80,24,31,37,-73.4
TSC22D2,Cytosol,780,79228,421,48,59,252,-257.9
TUBA4A,Cytosol,448,49924,213,53,64,118,-112.7
TUBB4B,Cytosol,445,49831,208,47,62,128,-161.3
UBE2O,Cytosol,1292,141293,590,171,202,329,-697.4
UGP2,Cytosol,508,56940,236,73,60,139,-149
USP47,Cytosol,1375,157311,538,196,235,406,-859.2
VPS37B,Cytosol,285,31307,158,31,29,67,-118.5
ACAT2,Cytosol,397,41351,227,44,38,88,80.4
ACSS2,Cytosol,701,78580,336,94,84,187,-194.2
ADAP1,Cytosol,374,43395,168,70,48,88,-254.6
AKR1C2,Cytosol,323,36735,153,51,41,78,-97.3
ANXA1,Cytosol,346,38714,155,56,52,83,-145.1
ARPP19,Cytosol,112,12323,49,22,17,24,-121.3
ASPSCR1,Cytosol,553,60183,277,76,71,129,-292.2
ATE1,Cytosol,518,59090,214,80,65,159,-353
BDH2,Cytosol,245,26724,124,30,27,64,-5.3
BLVRB,Cytosol,206,22119,108,29,20,49,-12.3
BTF3,Cytosol,206,22168,96,33,25,52,-152.9
BTF3L4,Cytosol,158,17271,72,26,25,35,-97.4
C1orf122,Cytosol,110,11471,63,15,15,17,-97.2
CASP7,Cytosol,303,34277,127,47,46,83,-154.2
CAST,Cytosol,708,76573,269,125,151,163,-844.4
CCDC25,Cytosol,208,24479,74,42,38,54,-188.4
CCDC6,Cytosol,474,53291,190,76,66,142,-461.9
CDC37,Cytosol,378,44468,139,74,84,81,-365.7
CHMP1A,Cytosol,196,21703,83,29,27,57,-92.3
CHMP1B,Cytosol,199,22109,87,31,27,54,-102.7
CHMP3,Cytosol,222,25073,103,37,44,38,-122.4
CIAPIN1,Cytosol,312,33582,145,43,45,79,-93.3
CLNS1A,Cytosol,237,26215,102,19,57,59,-155.5
CNOT4,Cytosol,575,63510,244,70,58,203,-365.6
CORO1A,Cytosol,461,51026,221,67,61,112,-147.2
CORO1B,Cytosol,489,54235,234,68,68,119,-154.2
CRTC2,Cytosol,693,73302,342,75,54,222,-381
CSRP2,Cytosol,193,20954,81,34,17,61,-118.6
CUEDC2,Cytosol,287,32009,143,36,50,58,-148.6
CUTA,Cytosol,179,19116,104,14,15,46,67.5
DAP,Cytosol,102,11165,46,23,13,20,-123.7
DCAF16,Cytosol,216,24193,85,26,25,80,-114.1
DDAH1,Cytosol,285,31122,145,41,41,58,-37.9
DFFA,Cytosol,331,36522,137,40,56,98,-149.6
DNAJB1,Cytosol,340,38044,162,60,50,68,-243.1
DNAJC2,Cytosol,621,71996,223,133,112,153,-668.2
DNAL1,Cytosol,190,21533,86,30,30,44,-74.7
DOHH,Cytosol,302,32904,166,35,48,53,-55.1
DPH7,Cytosol,452,50575,204,64,52,132,-171.9
DTD1,Cytosol,209,23424,86,36,30,57,-154.2
EEF1B2,Cytosol,225,24764,101,29,45,50,-110.5
EGLN1,Cytosol,426,46021,203,71,51,101,-279.9
EIF4B,Cytosol,611,69151,199,121,126,165,-982.3
EIF4H,Cytosol,248,27385,113,42,41,52,-250.2
EIF5,Cytosol,431,49223,172,79,83,97,-345.7
EIF5A,Cytosol,154,16832,75,22,25,32,-40.8
ENY2,Cytosol,101,11529,46,23,15,17,-40
FBLIM1,Cytosol,373,40670,193,47,46,87,-134.1
FDPS,Cytosol,419,48275,199,54,53,113,-99.5
FKBP3,Cytosol,224,25177,93,45,32,54,-170.2
FKBP4,Cytosol,459,51805,201,72,78,108,-295.1
FLNA,Cytosol,2647,280739,1340,318,307,682,-838.3
FLNB,Cytosol,2602,278164,1319,314,320,649,-761.4
FN3K,Cytosol,309,35171,156,48,39,66,-113.6
GALK1,Cytosol,392,42272,210,47,43,92,-29.5
GBE1,Cytosol,702,80474,328,100,89,185,-263
GBP2,Cytosol,591,67209,259,88,91,153,-286.5
GIPC3,Cytosol,312,33982,158,45,47,62,-89.7
GLO1,Cytosol,184,20778,84,26,29,45,-94.9
GLOD4,Cytosol,313,34793,147,44,46,76,-119.9
GLRX3,Cytosol,335,37432,165,45,49,76,-86
GPCPD1,Cytosol,672,76035,303,88,93,188,-202.4
GRB2,Cytosol,217,25206,97,34,32,54,-144.9
GRIPAP1,Cytosol,841,96006,318,137,163,223,-795.8
HINT1,Cytosol,126,13802,68,22,16,20,-22
HNMT,Cytosol,292,33295,128,38,42,84,-92.6
HSP90AA1,Cytosol,732,84660,282,122,151,177,-549.2
HSPA14,Cytosol,509,54794,252,62,65,130,-37.8
HSPA4,Cytosol,840,94331,358,118,137,227,-487.8
HSPA4L,Cytosol,839,94512,359,128,129,223,-444.3
HSPH1,Cytosol,858,96865,375,126,138,219,-490.4
IAH1,Cytosol,248,27599,123,26,29,70,-8.6
LRRC47,Cytosol,583,63473,296,91,77,119,-230.9
MAP1B,Cytosol,2468,270634,966,333,465,704,-2061.2
MAP4,Cytosol,1152,121005,547,146,159,300,-622.7
MAPK12,Cytosol,367,41940,175,57,54,81,-135.4
MAT2A,Cytosol,395,43661,192,60,54,89,-110.7
MAT2B,Cytosol,334,37552,162,52,40,80,-114.7
MB,Cytosol,154,17184,75,31,22,26,-73.3
MEMO1,Cytosol,297,33733,126,41,30,100,-106.3
MGMT,Cytosol,207,21646,121,26,17,43,-7.6
MRI1,Cytosol,369,39150,205,45,42,77,33.3
MVD,Cytosol,400,43405,207,51,42,100,-39.1
NAA10,Cytosol,235,26459,94,38,39,64,-177.5
NACA,Cytosol,215,23384,89,23,39,64,-140.9
NACA,Cytosol,2078,205422,1191,179,110,598,-695.6
NAE1,Cytosol,534,60246,244,69,75,146,-177.3
NAMPT,Cytosol,491,55521,215,74,63,139,-210.8
NANS,Cytosol,359,40308,173,56,49,81,-119.8
NCOA7,Cytosol,942,106162,375,145,152,270,-666.4
NME1,Cytosol,152,17149,77,22,21,32,-29.5
NSFL1C,Cytosol,370,40573,170,51,61,88,-226.4
NTAN1,Cytosol,310,34677,142,46,41,81,-130.2
OGFR,Cytosol,677,73325,307,93,126,151,-732.1
PAFAH1B2,Cytosol,229,25569,114,31,30,54,-67.7
PAPSS2,Cytosol,614,69501,291,105,80,138,-249.3
PARK7,Cytosol,189,19891,106,26,24,33,1
PBDC1,Cytosol,233,26057,96,34,48,55,-200.1
PDAP1,Cytosol,181,20630,61,46,41,33,-291.8
PDLIM1,Cytosol,329,36072,146,46,38,99,-171.7
PDXK,Cytosol,312,35102,152,41,39,80,-64.6
PFAS,Cytosol,1338,144734,721,155,156,306,-266.6
PFDN1,Cytosol,122,14210,50,24,22,26,-78.8
PFDN2,Cytosol,154,16648,71,25,24,34,-91.6
PGM2,Cytosol,612,68283,282,84,76,170,-246
PIN1,Cytosol,163,18243,64,28,21,50,-143
PNPO,Cytosol,261,29988,118,41,36,66,-170.6
PPM1A,Cytosol,382,42448,170,55,60,97,-188.2
PPME1,Cytosol,386,42315,193,53,52,88,-111.6
PPP1R14B,Cytosol,147,15911,75,20,27,25,-93
PSMG3,Cytosol,122,13104,67,14,11,30,58.2
PSMG4,Cytosol,123,13775,59,15,13,36,-6.9
PTGES3,Cytosol,160,18697,53,23,40,44,-167.9
PYROXD1,Cytosol,500,55793,235,70,70,125,-128
QDPR,Cytosol,244,25790,130,27,23,64,1
RAD23A,Cytosol,363,39609,174,33,55,101,-194.1
RAD23B,Cytosol,409,43171,201,33,45,130,-158.8
RCHY1,Cytosol,261,30110,91,45,36,89,-147.9
RNF114,Cytosol,228,25694,97,34,27,70,-95.7
S100A13,Cytosol,98,11471,39,19,19,21,-65.4
SAT2,Cytosol,170,19155,87,24,24,35,-21.2
SBDS,Cytosol,250,28764,105,50,40,55,-124.9
SETD7,Cytosol,366,40721,164,39,62,101,-191.5
SGTA,Cytosol,313,34063,149,30,40,94,-153.5
SH3D19,Cytosol,790,86525,376,114,97,203,-491.5
SRA1,Cytosol,224,24400,109,33,28,54,-143.3
SSNA1,Cytosol,119,13596,41,19,21,38,-111.9
STAMBP,Cytosol,424,48077,186,67,62,109,-200.4
TACC2,Cytosol,2948,309427,1418,326,456,748,-2160.4
TAGLN,Cytosol,201,22611,96,31,25,49,-117.4
TBCB,Cytosol,244,27326,105,34,40,65,-131.7
TJAP1,Cytosol,557,61821,251,86,84,136,-438.2
TPM1,Cytosol,284,32709,100,55,80,49,-296.5
TPM3,Cytosol,285,32950,103,54,80,48,-296.5
TPM4,Cytosol,248,28522,93,45,68,42,-253.2
TRIM44,Cytosol,344,38472,124,41,105,74,-362.1
TRIM65,Cytosol,517,57353,249,67,57,144,-186.3
TSNAX,Cytosol,290,33112,122,47,43,78,-161.8
TTC9C,Cytosol,171,20013,70,29,20,52,-152.5
TXLNA,Cytosol,546,61891,199,103,98,146,-672.9
TXLNG,Cytosol,528,60586,192,104,90,142,-520.8
UBA1,Cytosol,1058,117849,516,128,130,284,-282.5
UBAP2,Cytosol,1119,117116,484,107,79,449,-672.2
UBE2A,Cytosol,152,17315,66,17,20,49,-95.5
UBE2G1,Cytosol,170,19509,79,26,29,36,-94.1
UBE2L3,Cytosol,154,17862,68,28,23,35,-116.2
UBE3A,Cytosol,875,100688,379,124,142,230,-409.4
UBFD1,Cytosol,309,33382,154,42,43,70,-160.9
UBL7,Cytosol,380,40510,190,35,42,113,-98
UCHL3,Cytosol,230,26183,105,31,40,54,-93.1
UGDH,Cytosol,494,55024,233,70,63,128,-110.9
UROD,Cytosol,367,40787,202,45,43,77,-50.6
USP5,Cytosol,858,95786,405,110,135,208,-377.2
WASH4P,Cytosol,477,51595,238,63,59,117,-280.5
VBP1,Cytosol,197,22626,79,33,32,53,-138.2
VCPKMT,Cytosol,229,25807,108,30,39,52,-43.4
VHL,Cytosol,213,24153,98,28,41,46,-165.4
WWTR1,Cytosol,400,44101,183,41,40,136,-288.4
YAP1,Cytosol,504,54462,235,44,51,174,-381.2
ZFAND2B,Cytosol,257,28023,105,37,30,85,-145.3
ZNF428,Cytosol,188,20481,76,20,54,38,-254.9
A1BG,Cytosol,495,54254,253,60,59,123,-107.2
AAGAB,Cytosol,315,34594,144,33,52,86,-85.5
AAK1,Cytosol,961,103885,459,96,88,318,-499.4
AAMP,Cytosol,434,46751,207,39,76,112,-104.8
AAR2,Cytosol,384,43472,196,49,48,91,-50.8
AARSD1,Cytosol,412,45480,191,62,57,102,-164.6
AASDHPPT,Cytosol,309,35776,146,47,43,73,-132.8
ABCA7,Cytosol,2146,234350,1202,251,206,487,118.2
ABCB4,Cytosol,1286,141523,679,154,127,326,81.8
ABCE1,Cytosol,599,67314,289,91,73,146,-114.4
ABCF2,Cytosol,623,71290,281,113,90,139,-310.9
ABCF3,Cytosol,709,79745,336,107,102,164,-273.5
ABHD14B,Cytosol,210,22346,125,20,17,48,20.1
ABHD4,Cytosol,342,38794,167,47,38,90,-107.2
ABI1,Cytosol,508,55081,242,57,49,160,-316.1
ABI2,Cytosol,513,55663,245,54,52,162,-313.9
ABL2,Cytosol,1182,128343,553,162,130,337,-589.2
ABLIM2,Cytosol,611,67812,246,98,73,194,-382.2
ABTB2,Cytosol,1025,113656,487,131,119,288,-240.3
ACACA,Cytosol,2346,265554,1124,316,292,614,-576.3
ACAP3,Cytosol,834,92495,378,123,122,211,-308.9
ACBD3,Cytosol,528,60593,217,79,96,136,-485.5
ACBD6,Cytosol,282,31151,123,38,45,76,-142.4
ACCS,Cytosol,501,57324,235,69,64,133,-150
ACD,Cytosol,458,48967,224,46,51,137,-148.9
ACLY,Cytosol,1101,120839,575,145,122,259,-115.9
ACO1,Cytosol,889,98399,467,107,97,218,-121.5
ACOT4,Cytosol,421,46327,235,58,41,87,-39.4
ACOT7,Cytosol,380,41796,180,60,42,98,-115.1
ACP1,Cytosol,158,18042,63,23,21,51,-77.7
ACTA1,Cytosol,377,42051,182,46,50,99,-87.6
ACTB,Cytosol,375,41737,183,46,49,97,-74.9
ACTBL2,Cytosol,376,42003,187,46,48,95,-71.5
ACTG1,Cytosol,375,41793,183,46,49,97,-74.6
ACTL6A,Cytosol,429,47461,206,49,51,123,-115
ACTN2,Cytosol,894,103854,378,136,146,234,-534
ACTN3,Cytosol,901,103241,405,133,141,222,-456.5
ACTR10,Cytosol,417,46307,219,54,46,98,-2
ACTR1B,Cytosol,376,42293,188,56,52,80,-91.8
ACTR3B,Cytosol,418,47608,209,57,57,95,-79.3
ACY1,Cytosol,408,45885,202,55,51,100,-119.1
ACYP1,Cytosol,99,11261,44,17,11,27,-55.1
ACYP2,Cytosol,99,11140,37,15,10,37,-59.5
ADA,Cytosol,363,40764,173,52,51,87,-143.2
ADAL,Cytosol,355,40264,154,56,51,94,-141.8
ADAT3,Cytosol,351,38071,198,51,38,64,-65.4
ADCY10,Cytosol,1610,187149,755,228,180,447,-150.1
ADD1,Cytosol,737,80955,339,102,103,193,-466.1
ADD3,Cytosol,706,79155,309,102,96,199,-400.5
ADH5,Cytosol,374,39724,201,48,40,85,59.1
ADI1,Cytosol,179,21498,77,32,33,37,-146.2
ADIRF,Cytosol,76,7855,36,8,9,23,-36.2
ADK,Cytosol,362,40545,172,56,50,84,-115.1
ADO,Cytosol,270,29751,142,36,35,57,-133.8
ADRM1,Cytosol,407,42153,211,34,41,121,-126.1
ADSL,Cytosol,484,54889,226,73,62,123,-114.9
AFAP1L2,Cytosol,818,91300,325,122,136,235,-611.6
AFF3,Cytosol,1226,133503,478,184,147,417,-1079.5
AFM,Cytosol,599,69069,243,88,88,180,-232.5
AFTPH,Cytosol,936,102113,383,96,166,291,-568.2
AGAP1,Cytosol,857,94470,353,119,94,291,-422.6
AGAP2,Cytosol,1192,124674,597,170,100,325,-529.3
AGAP3,Cytosol,875,95044,407,118,92,258,-354.8
AGFG1,Cytosol,562,58260,274,48,32,208,-192.6
AGFG2,Cytosol,481,48963,276,37,24,144,-109.1
AGL,Cytosol,1532,174764,706,212,183,431,-500.9
AHCY,Cytosol,432,47716,220,57,53,102,-44.1
AHCYL1,Cytosol,530,58951,235,71,65,159,-140.6
AHCYL2,Cytosol,611,66721,289,83,71,168,-194.4
AHI1,Cytosol,1196,137115,461,211,174,350,-866.5
AHSG,Cytosol,367,39341,190,41,41,95,-69.6
AIDA,Cytosol,306,35023,138,52,48,68,-169.2
AIF1L,Cytosol,150,17068,72,25,24,29,-85.6
AIMP1,Cytosol,312,34353,143,52,44,73,-161.1
AIMP2,Cytosol,320,35349,159,40,29,92,-46
AIP,Cytosol,330,37664,151,56,51,72,-163.4
AJUBA,Cytosol,538,56934,271,69,57,141,-247.9
AK1,Cytosol,194,21635,87,33,28,46,-93.5
AKAP10,Cytosol,662,73818,284,90,82,206,-301.1
AKAP12,Cytosol,1782,191482,704,211,414,453,-1677.6
AKR1A1,Cytosol,325,36573,161,45,39,80,-87.7
AKR1B10,Cytosol,316,36020,149,52,42,73,-102.6
AKR1C3,Cytosol,323,36853,145,53,41,84,-133.9
AKR7A2,Cytosol,359,39589,180,49,37,93,-99.7
AKT1,Cytosol,480,55686,209,79,77,115,-275.9
AKT1S1,Cytosol,256,27383,129,29,42,56,-180.9
AKT2,Cytosol,481,55769,216,77,73,115,-227.5
AKTIP,Cytosol,292,33128,136,46,29,81,-129.4
ALAD,Cytosol,330,36295,180,44,38,68,-11.7
ALB,Cytosol,609,69367,258,103,98,150,-215.5
ALDH16A1,Cytosol,802,85127,463,86,76,177,4.7
ALDH3A1,Cytosol,453,50395,224,58,53,118,-91.1
ALDH7A1,Cytosol,539,58487,284,65,54,136,-33.5
ALDOA,Cytosol,364,39420,179,50,38,97,-95.4
ALG13,Cytosol,1137,126056,518,136,113,370,-616.3
ALKBH3,Cytosol,286,33375,116,52,38,80,-244.7
ALKBH4,Cytosol,302,33838,151,43,40,68,-79.9
ALKBH6,Cytosol,238,26483,129,33,25,51,-86.8
ALKBH8,Cytosol,664,75208,280,107,82,195,-360.7
ALMS1,Cytosol,4168,461062,1652,595,548,1373,-2996.3
ALOXE3,Cytosol,711,80543,332,83,69,227,-134
ALS2CL,Cytosol,953,107748,443,134,124,252,-354.5
AMD1,Cytosol,334,38340,145,40,40,109,-113
AMDHD2,Cytosol,409,43748,231,56,45,77,12.1
AMMECR1,Cytosol,333,35463,155,45,24,109,-121.9
AMOTL2,Cytosol,779,85764,339,123,102,215,-673.5
AMPD2,Cytosol,879,100688,405,142,117,215,-423.9
AMPD3,Cytosol,767,88812,336,121,99,211,-426.1
AMZ1,Cytosol,498,54924,245,63,62,128,-107.8
AMZ2,Cytosol,360,41263,157,56,39,108,-118.2
ANAPC1,Cytosol,1944,216500,933,227,203,581,-248.6
ANAPC11,Cytosol,84,9841,33,14,7,30,-20
ANAPC15,Cytosol,121,14281,36,6,44,35,-175.9
ANAPC16,Cytosol,110,11667,54,11,14,31,-25.1
ANAPC2,Cytosol,822,93828,380,111,127,204,-259.3
ANAPC4,Cytosol,808,92116,359,103,109,237,-166.3
ANAPC5,Cytosol,755,85077,359,103,84,209,-103.3
ANK1,Cytosol,1881,206265,884,259,247,491,-711.8
ANK2,Cytosol,3957,433715,1618,560,659,1120,-2679.9
ANK3,Cytosol,4377,480410,1804,663,608,1302,-2844.5
ANKFY1,Cytosol,1169,128399,565,149,139,316,-180.6
ANKRA2,Cytosol,313,34272,145,33,39,96,-71.1
ANKRD13A,Cytosol,590,67619,248,78,96,168,-293.4
ANKRD13B,Cytosol,626,70205,280,91,80,175,-339.2
ANKRD13D,Cytosol,605,68172,280,80,83,162,-310.7
ANKRD16,Cytosol,361,39284,176,60,43,82,-90.7
ANKRD17,Cytosol,2603,274258,1255,302,268,778,-1020.8
ANKRD26,Cytosol,1710,196411,592,302,311,505,-1690.1
ANKRD36C,Cytosol,1778,199748,632,325,289,532,-1539
ANKRD39,Cytosol,183,19651,85,29,21,48,-60.3
ANKRD40,Cytosol,368,41088,174,41,52,101,-197.4
ANKRD49,Cytosol,239,27290,92,36,42,69,-181.9
ANKRD52,Cytosol,1076,115077,549,142,117,268,-57.6
ANKRD54,Cytosol,300,32505,144,47,43,66,-149.4
ANKRD9,Cytosol,317,34295,185,47,31,54,-53.9
ANKS1A,Cytosol,1134,123108,504,165,148,317,-643.7
ANKS6,Cytosol,871,92219,439,123,95,214,-389.7
ANKZF1,Cytosol,726,80927,322,125,100,179,-560.1
ANXA11,Cytosol,505,54390,270,55,50,130,-263.3
ANXA2,Cytosol,339,38604,139,57,52,91,-177.8
ANXA3,Cytosol,323,36375,140,52,52,79,-136.6
ANXA4,Cytosol,319,35883,138,49,49,83,-140.4
AP1B1,Cytosol,949,104607,480,102,124,243,-48.3
AP1S2,Cytosol,157,18615,70,24,26,37,-26.5
AP1S3,Cytosol,154,18280,67,25,23,39,-20.5
AP3B2,Cytosol,1082,119059,500,144,151,287,-376.7
AP3M2,Cytosol,418,46977,207,53,43,115,-29.9
AP3S2,Cytosol,193,22017,99,22,25,47,11.9
AP4B1,Cytosol,739,83260,363,91,91,194,-26.5
AP4M1,Cytosol,453,49977,228,59,47,119,-59.4
AP4S1,Cytosol,144,17005,66,19,22,37,6
AP5B1,Cytosol,878,93949,533,89,87,169,180.2
AP5M1,Cytosol,490,54767,235,54,49,152,-59.7
AP5S1,Cytosol,200,22522,107,29,24,40,-27.5
AP5Z1,Cytosol,807,88605,420,95,80,212,61.6
APAF1,Cytosol,1248,141840,527,184,164,373,-334.7
APBA1,Cytosol,837,92865,368,112,144,213,-590.8
APBA2,Cytosol,749,82512,335,91,122,201,-463.5
APBB2,Cytosol,758,83374,326,100,97,235,-429.3
APC,Cytosol,2843,311646,1040,429,357,1017,-2529.4
APCS,Cytosol,223,25387,109,25,23,66,-17.5
